food_name,food_info
"Asam arang coklat, segar","Air 66.10 g, Energi 130.00 kkal, Protein 0.50 g, Lemak total 1.10 g, Karbohidrat total 30.90 g, Abu 1.40 g, Natrium 13.00 mg, B-Karoten 745.00 mcg, Karoten total 0.00 mcg"
"Asam arang merah, segar","Air 75.90 g, Energi 99.00 kkal, Protein 0.80 g, Lemak total 1.60 g, Karbohidrat total 20.30 g, Abu 1.40 g, Natrium 2.00 mg, B-Karoten 529.00 mcg, Karoten total 0.00 mcg"
Asam kandis kering,"Air 32.20 g, Energi 261.00 kkal, Protein 0.90 g, Lemak total 1.60 g, Karbohidrat total 63.30 g, Abu 2.00 g, Natrium 26.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Asam kandis segar,"Air 81.50 g, Energi 75.00 kkal, Protein 0.20 g, Lemak total 1.10 g, Karbohidrat total 16.10 g, Abu 1.10 g, Natrium 93.00 mg, B-Karoten 41.00 mcg, Karoten total 0.00 mcg"
"Asam masak pohon, segar","Air 31.40 g, Energi 267.00 kkal, Protein 2.80 g, Lemak total 0.60 g, Karbohidrat total 62.50 g, Abu 2.70 g, Natrium 9.00 mg, B-Karoten 9.00 mcg, Karoten total 30.00 mcg"
"Asam payak, segar","Air 65.10 g, Energi 135.00 kkal, Protein 0.80 g, Lemak total 0.40 g, Karbohidrat total 32.10 g, Abu 1.60 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Asinan bogor,sayuran","Air 78.00 g, Energi 98.00 kkal, Protein 3.90 g, Lemak total 2.60 g, Karbohidrat total 14.80 g, Abu 0.70 g, Natrium 483.00 mg, B-Karoten 0.00 mcg, Karoten total 146.00 mcg"
asparagus,"Energi 20.00 kkal, Lemak total 0.12 g, Protein 2.20 g, Karbohidrat total 3.88 g, Natrium 2.00 mg, B-Karoten 449.00 mcg, Karoten total 38.00 mcg, Air 93.22 g, Abu 0.58 g"
Atomic blast,"Energi 144.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 2.00 potong, Protein 15.00 g, Karbohidrat total 2.00 g, Takaran Saji 0.00 g, Lemak total 9.00 g"
Auntie anne cinnamon sugar pretzel,"Energi 470.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 8.00 g, Karbohidrat total 84.00 g, Takaran Saji 147.00 g, Lemak total 12.00 g"
Auntie anne garlic pretzel,"Energi 350.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 8.00 g, Karbohidrat total 65.00 g, Takaran Saji 123.00 g, Lemak total 5.00 g"
Auntie anne original pretzel,"Energi 340.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 8.00 g, Karbohidrat total 65.00 g, Takaran Saji 123.00 g, Lemak total 5.00 g"
Auntie anne pepperoni pretzel,"Energi 480.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 15.00 g, Karbohidrat total 65.00 g, Takaran Saji 149.00 g, Lemak total 16.00 g"
